date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Mechanical Engineer,"Clyde, OH",Current Employee ,Good Employer,0,"Good Benefits and 401k match
","Hard to advance within the company
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Director,"Benton Harbor, MI",Current Employee ,"Great values, with opportunities to grow",0,"The company has great values, people really are friendly, and open to learn. There are pockets of innovative teams that really can make a difference. 
The industry is changing and there are opportunities to rethink many part of the business. The global reach of the company is a bonus. 
Your role could be a great place to build a legacy and drive impact.
There is a strong effort in building inclusion and diversity, more talent has been brought in. Some of the strong leaders stand up for what is right and the openly speak about how the company is making an impact in society. 
When projects are collaborative in nature it really brings out the best of the company. 
The campus is a great place that feels like home. 
There are opportunities for personal growth and the company supports it's employees.
They invest in various key areas and creative initiatives that long-term provide and overall better corporate experience. While the company has been around a long time, most recent initiatives have made it feel young again.
","There's still too often tendency to make the safe choices and avoid taking too much risk. Some great initiatives or projects take a long time to get funded or do not make it to full execution, too many great ideas die in business case reviews.
Overall management of change and getting everyone aligned is a struggle at times, mostly because it feels like not every function or region is fully integrated.
The planning and project cycles while very well structured are not always understood and can sometimes take too long to gain traction.
Some of the executive management could be more engaged to actually learn what is happening. There are some pockets of departments that are slow moving or too closed off from the rest of the company and other pockets can feel like a closed network for promotions or influence.
HR and IT can be weak in effectiveness at the execution level
Advice to Management
Build in more risk-taking that is smart and supports innovation. Get out of your comfort zone.
Find ways to leverage and expand the best practices by the most innovative teams and people regardless of function or role. 
Invest in more top talent and those that can balance technical innovation with agility
Build and integrate the organization so all regions are better aligned
Develop leaders that know how to drive a more agile approach and do not rely only on what they know from experience, there's too much copy and paste in some leadership roles.
Stay friendly and true to the values but also do not be afraid to challenge, build new structures, or rethink completely to improve overall effectiveness.
Do not forget to build talent within
Helpfu","Build in more risk-taking that is smart and supports innovation. Get out of your comfort zone.
Find ways to leverage and expand the best practices by the most innovative teams and people regardless of function or role. 
Invest in more top talent and those that can balance technical innovation with agility
Build and integrate the organization so all regions are better aligned
Develop leaders that know how to drive a more agile approach and do not rely only on what they know from experience, there's too much copy and paste in some leadership roles.
Stay friendly and true to the values but also do not be afraid to challenge, build new structures, or rethink completely to improve overall effectiveness.
Do not forget to build talent within
Helpfu",4.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sourcing Specialist,,Current Employee ,Great place to work,0,"Great place to work. Focus on people first
","Big corporation bureaucracy makes things slow
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Ops Manager,,Current Employee ,Best Inclusive and Learning Culture,0,"Heavy focus on hiring smart talent/future leaders, strong learning culture, heavy focus on building inclusive and diverse teams, inspire collaborative and innovative thinking, overall a culture of high integrity.
","Career path can be a challenge, especially if you're a SME in a certain area and looking to move up or across various areas.
Advice to Management
Focus more succession planning at the lower levels, perhaps looking at internal career coaching
Helpfu","Focus more succession planning at the lower levels, perhaps looking at internal career coaching
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021,Anonymous,"Saint Joseph, KY",Former Employee ,great,0,"great people to work with
","none to mu knowledge it was all good
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Tue Feb 02 2021, Customer Service Representative,"Knoxville, TN",Current Employee ,Whirlpool,0,"Usually a great work environment and community.
","Very inflexible schedule and difficult to balance home and work life.
Helpfu",,4.0,1.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 31 2021, Software Engineer,,Current Employee ,"great people, great company",0,"great people to work with
","not a good physical location
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Senior Project Manager,"Atlanta, GA",Former Employee ,Organized,0,"Willing to train
Average pay flexibility in scheduling
","Political unsure of direction
Critical of performance
Advice to Management
More communication is recommended with employees
Helpfu","More communication is recommended with employees
Helpfu",4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Engineering Manager,"Saint Joseph, MI",Current Employee ,Great place to work,0,"Great Values, Diversified teams, Global exposure
","Small Town, Less opportunities within this area
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Manufacturing Engineer,,Current Employee ,Overall great job,0,"Flexible hours, opportunity to advance
","Constant movement leaves management disorganized.
Helpfu",,4.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Field Service Technician,"Los Angeles, CA",Former Employee ,"Good place to work, but limited opportunities",0,"Good salary, good job security, very transparent
","limited opportunities if in service, limited training, field service can be hard
Helpfu",,5.0,3.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, IT Manager,"Benton Harbor, MI",Former Employee ,Getting Better,0,"Good salary, good benefits, relatively low cost of living in area.
","Obsessive focus on cost cutting and staff reduction, while quality of work and product quality suffer.
Helpfu",,3.0,3.0,3.0,5.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Senior Manager,"Benton Harbor, MI",Current Employee ,Good,0,"Nothing bad to share . Takes good care
","Good culture. Salary not that good
Helpfu",,3.0,,,,,,,,
Thu Jan 21 2021, Assembly Line Worker,"Amana, IA",Former Employee ,Life in whirlpool,0,"Good work environment world recomend working there.
","Sometimes the days would drag on because of the line downtime
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021," Manager, Information Systems","Benton Harbor, MI",Current Employee ,Strong Company Background,0,"Global Company with lots of opportunities
","Big machine, takes for ever for promotions or change to happen
Helpfu",,3.0,5.0,4.0,5.0,1.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, EHS Analyst,"Tulsa, OK",Current Employee ,Production First,0,"Always busy, never get board.
","Very production oriented. Other things need to be fixed or repaired, but only when it fully breaks
Helpfu",,3.0,5.0,3.0,5.0,5.0,4.0,No opinion of CEO,,
Wed Jan 20 2021, Senior Representative,"Benton Harbor, MI",Current Employee ,Great company,0,"Whirlpool is a great company
","I do not have any at this time
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Service Manager,"Detroit, MI",Current Employee ,Field Manager,0,"Big company, good benefits, great pay
","Hard to move up, headquarters location
Helpfu",,5.0,1.0,5.0,2.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Production Assembler,"Findlay, OH",Current Employee ,work,0,"Reliable hours with decent pay.
","Bad management, poor communication and nepotism run rampant.
Advice to Management
Listen to your people they are the ones doing the work every day. Stop putting people in charge of areas they have absolutely no business being in charge of.
Helpfu","Listen to your people they are the ones doing the work every day. Stop putting people in charge of areas they have absolutely no business being in charge of.
Helpfu",3.0,,,,,,,,
Wed Feb 03 2021, Production Assembler,"Findlay, OH",Current Employee ,work,0,"Reliable hours with decent pay.
","Bad management, poor communication and nepotism run rampant.
Advice to Management
Listen to your people they are the ones doing the work every day. Stop putting people in charge of areas they have absolutely no business being in charge of.
Helpfu","Listen to your people they are the ones doing the work every day. Stop putting people in charge of areas they have absolutely no business being in charge of.
Helpfu",3.0,,,,,,,,
Tue Jan 19 2021, Senior Manager,,Current Employee ,Great company to work for,0,"Great products that really impact consumers' life
","Location - small town tough close to big cities
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Project Analyst,"Saint Joseph, MI",Former Employee ,Beware of the POOL,0,"Flexible work hours
Open Door Policy
Summer Hours
","Promotions are few and far between
White American Male's in their 50's are moving targets for termination.
Advice to Management
Don't hold people accountable for not getting their projects done on time. 
When they don't have the resources to do their job, how can you expect them to be successful. Whirlpool has let go so many talented people, they expect those who survived to do their job as well as those let go. 
Management seems to keep their jobs when the works loose theirs.
Helpfu","Don't hold people accountable for not getting their projects done on time. 
When they don't have the resources to do their job, how can you expect them to be successful. Whirlpool has let go so many talented people, they expect those who survived to do their job as well as those let go. 
Management seems to keep their jobs when the works loose theirs.
Helpfu",3.0,4.0,3.0,5.0,2.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Business Analyst,"Benton Harbor, MI",Current Employee ,Not good for introverts,0,"Work life balance, flexibility, diversity
","The people who get recognized are only the ones who talk. Not recommend if you are introvert and working hard. It doesn't matter if you're dumb, as long as you can talk in front of others, you will be fine. Another typical company that you cannot trust the other teams and the leadership.
Advice to Management
The leadership don't need to be seen that much. It just consumes the money and time that you're investing in people. Instead recognize who really works hard for the company.
Helpfu","The leadership don't need to be seen that much. It just consumes the money and time that you're investing in people. Instead recognize who really works hard for the company.
Helpfu",2.0,4.0,2.0,3.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Jan 17 2021, Whirlpool Co,"Amana, IA",Former Employee ,Good,0,"Great work culture & Environment
","Location is far from city
Helpfu",,4.0,4.0,4.0,5.0,5.0,5.0,,,
Sun Jan 31 2021, Sales Execution Team,,Former Employee ,Sales,0,"Great Company, I never had a bad direct manager. Everyone is willing to help you with your career development and they give you every opportunity to do so.
","Lack of resources that other companies have to help with sales.
Helpfu",,3.0,5.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 15 2021, Senior Engineering Manager,"Benton Harbor, MI",Current Employee ,Very stable company,0,"Good work environment and talented people.
","Lack of career growth opportunities.
Helpfu",,5.0,3.0,5.0,5.0,1.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Government Relations Analyst,,Former Employee ,Great people all around,0,"Employees really care about their work and each other
","If you don't work at company HQ in Benton Harbor you feel a little out of the loop
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Tooling Engineer,"Clyde, OH",Current Employee ,Tool Engineer,0,"Steady Work, small town area
","Some managers will micro manage
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Jan 13 2021, Sales Manager,"Seattle, WA",Current Employee ,Great Company,0,"I like the flexible work schedule.
","The variety of account types.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Assembly Operator,"Findlay, OH",Current Employee ,"Good Work Environment, Disorganized HR",0,"Nicest factory environment I have had the privilege to work in.
","The HR is extremely disorganized and connected. They never communicate effectively, especially when it comes to hiring/internal advancement
Helpfu",,3.0,4.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 10 2021, Data Analyst,,Current Employee ,Great culture,0,"Great learning, amazing culture, good pay
","No cons so far. Working hrs are more for plants
Helpfu",,5.0,5.0,,,,,,,
Fri Jan 22 2021, Engineering Manager,"Benton Harbor, MI",Current Employee ,Great company!,0,"Global leadership , multicultural, diversity with inclusion & great brands products
","Limited resources human & material, extremely slow to execution, finger pointer culture, a lot of upper management leaders duplicating functions
Helpfu",,3.0,2.0,4.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Regional Sales Manager,"Washington, DC",Current Employee ,Sales Manager,0,"Flexible Work Schedule/
Strong Benefit Package
Great Work Life Balance
","Separation from corporate in planning
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Senior Engineer,"Benton Harbor, MI",Former Employee ,Life at Whirlpool,0,"Great environment to work in
","Promotion of select individuals despite performance
Advice to Management
None
Helpfu","None
Helpfu",3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,
Tue Jan 19 2021, Analyst,"Amana, IA",Current Employee ,Depends on your boss,0,"Competitive salary and compensation. Good benefits
","Unrealistic expectations of availability, work/life balance
Helpfu",,3.0,,,,,,,,
Mon Jan 04 2021, Factory Worker,,Former Employee ,Helped put together refrigerators.,0,"It was good pay just long hours. Body can't do it anymore.
","Girlfriend got covid so we havent been there since november
Helpfu",,4.0,,,,,,,,
Mon Jan 04 2021, Business Systems Analyst,"Knoxville, TN",Former Employee ,#1 Manufacturer of Appliances in US,0,"Great opportunity to learn and expand knowledge in all areas
","Downsize every 3-4 years, based on age and years of service
Advice to Management
Continue to listen to your employees that the eyes and the feet in the market to make changes as deemed necessary
Helpfu","Continue to listen to your employees that the eyes and the feet in the market to make changes as deemed necessary
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Sat Jan 02 2021, Customer Service Representative,"Comstock Park, MI",Former Employee ,wonderful place to work and advance,0,"you can work from home
","the schedule is picked for you and you must keep it for the next 3 months until a schedule bid is done.
Helpfu",,5.0,,,,,,,,
Wed Jan 13 2021, Assembly Line Worker,"Amana, IA",Current Employee ,Good money lots of work,0,"Good money for what you do
","Bad hours and bad management
Helpfu",,3.0,1.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Jan 13 2021, Assembly Line Worker,"Amana, IA",Current Employee ,Good money lots of work,0,"Good money for what you do
","Bad hours and bad management
Helpfu",,3.0,1.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Dec 28 2020, Business Analyst,,Current Employee ,Good Company to work with,0,"1. Explore new things 
2. Can learn a lot
","As manufacturing firm. There is a resistance to change
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 28 2020, Systems Integrator,"Cedar Rapids, IA",Former Employee ,Great company to work for,0,"Lots of great people, flexible work schedule, discounts on appliances.
","Not many opportunities at my location, as headquarters is located in Michigan. Many roles that formerly were available moved to either Michigan or overseas. Most employees there now directly support production.
Helpfu",,4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Dec 27 2020, Communications Assistant,"Columbus, OH",Current Employee ,Family oriented for manufacturing,0,"family oriented company, less hours than other manufacturers in the region. Nice people to work with.
","Poor succession planning. Lots of movement in upper management.
Helpfu",,4.0,4.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 09 2021, Engineer,"Cleveland, OH",Former Employee ,Stressful - Management & leadership don't appreciate the efforts,0,"The pay is not bad.
","Management not very understanding and and often times doesn't respect your efforts and hard work. Felt like each department - managers function differently and react and behave differently with their own employees .......honestly felt discouraging and disheartened some days
Advice to Management
Respect employees for the time and effort they put in
Helpfu","Respect employees for the time and effort they put in
Helpfu",2.0,2.0,2.0,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Dec 22 2020, Labor Pool,"Findlay, OH",Current Employee ,Whirlpool is 10/10,0,"Clean and a excellent environment to work in
","There are little to no cons
Advice to Management
Keep up with the good work
Helpfu","Keep up with the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 20 2020, Project Engineer,"Clyde, OH",Current Employee ,Decent place to work,0,"Great benefits, good opportunities to grow, management supports you
","Not enough resources to support projects, pillar metrics are priority, management is not aligned
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Dec 31 2020, Assembly Line Worker,"Cleveland, TN",Current Employee ,Whirlpool suspicions,0,"Great pay, pays the bills, I have a friend there
","They don't make people get covid tested, you're body aches after and it tears down ur body
Advice to Management
Make people get covid tested, especially after they just got back from having covid
Helpfu","Make people get covid tested, especially after they just got back from having covid
Helpfu",3.0,3.0,1.0,3.0,2.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Sat Dec 12 2020, Customer Service Representative,"Cleveland, TN",Current Employee ,The company is awesome,0,"I absolutely love everything about our iob
","There are no pros about our company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Digital Marketing,"Findlay, OH",Former Employee ,You are replaceable,1,"Good pay and benefits for employees
","They want your life to revolve around work. And when you have a tragic event happen in your personal life, they do not care. They will not work with you and will replace you so fast without blinking an eye. Support from HR is nonexistent and they do not support employees like they say they do.
Advice to Management
Remember your employees have lives outside of work and need to be treated as such.
Helpful (1","Remember your employees have lives outside of work and need to be treated as such.
",1.0,2.0,2.0,4.0,5.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Thu Dec 10 2020, Financial Analyst,"Benton Harbor, MI",Current Employee ,Great place to work,0,"Big corporation with a small business feel
","Some may might like they small town aspect
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,,,
Mon Dec 07 2020, Senior Engineer,"Benton Harbor, MI",Former Employee ,Leaned Out Engineering Resources,0,"More individual ownership for development.
","Excessive workload for functions outside of engineering.
Helpfu",,4.0,3.0,3.0,1.0,1.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Dec 18 2020, Inspector,"Amana, IA",Former Employee ,"Boring work, great benefits",0,"Overtime, benefits, the ability to bid on different jobs within the company
","Monotonous, repetitive, short breaks, no air in the summer. Gets really hot
Helpfu",,3.0,3.0,3.0,5.0,3.0,5.0,Neutral Outlook,,No opinion of CEO
Tue Jan 05 2021, Director,,Former Employee ,Learn as much as possible and run,1,"You'll grow and be stretched if you are willing to take on more responsibility.
","However, your hard work won't be noticeable if you are not one of the favorites or the 'chosen' one. Gender bias is huge there. Forget about climbing the corporate ladder if you are a female. Very few women climb to the top.
Culture is toxic. The worst I've ever experienced in my entire career.
Advice to Management
Stop the favoritism.
Helpful (1","Stop the favoritism.
",1.0,2.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Dec 01 2020, Engineering Manager,"Benton Harbor, MI",Current Employee ,It's what you make of it.,0,"Good place to work if you're comfortable pushing yourself and taking risks. It is what you make of it.
","A lot of your work friends will come and go. Few stay forever.
Helpfu",,4.0,,,,,,,,
Mon Dec 14 2020, Asembler Technician,"Tulsa, OK",Current Employee ,It could be worse,0,"The benefits are decent, profit shares.
","Non-stop work unless someone messes up.
Helpfu",,3.0,1.0,2.0,4.0,3.0,3.0,,,
Sun Nov 29 2020, General Labor,"Findlay, OH",Current Employee ,Okay,0,"Fun work to do repetitive
","Weather can be very brutal
Helpfu",,5.0,,,,,,,,
Sat Nov 28 2020, Delivery Driver,"Cedar Rapids, IA",Current Employee ,Plant utility,0,"I’m Works hard very dependable has great customer service skills
","I love helping people succeed successfully
Advice to Management
No lazy team leaders or supervisors they all just there for a check
Helpfu","No lazy team leaders or supervisors they all just there for a check
Helpfu",5.0,3.0,3.0,3.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Nov 24 2020, Customer Specialist,"Knoxville, TN",Former Employee ,Overall a good place to work,1,"Will work with you if you want to work.
","Too many levels of management.
Advice to Management
Please focus on the lower levels of employees for wages.
Helpful (1","Please focus on the lower levels of employees for wages.
",4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Nov 21 2020, Project Engineer,,Current Employee ,Great Workplace,0,"Great place to work and learn
Amazing products and development process
","Too many organizational iterations
Lack of big picture thinking
Helpfu",,5.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 18 2020, Sales,N/A,Former Employee ,sales,0,"the company had good benefits
","management is disconnected from employees
Helpfu",,5.0,,,,,,,,
Wed Dec 02 2020, Senior Engineer,"Clyde, OH",Former Employee ,Whirlpool Corporation,0,"Pays well
values work/family balance
Clean workplace
","For me location
Sort of clickish
Helpfu",,3.0,4.0,3.0,4.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Tue Nov 17 2020, Operator,"Clyde, OH",Current Employee ,Good,0,"Good benefits 
Jobs not so hard
","Repetitive 
Lose hours for downtime
Helpfu",,4.0,,,,,,,,
Tue Dec 01 2020, Team Member,"Boston, MA",Current Employee ,satisfied employee,0,"not enough money for work
","long hours but good people
Helpfu",,2.0,2.0,2.0,2.0,2.0,2.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 08 2020, Project Manager,"New York, NY",Former Employee ,Great Company!,0,"Results-driven, work-life balance, live its values, awesome products.
","Big corporations may have some bureocracies;
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 08 2020, Sales Assistant,"Stevensville, MI",Former Employee ,Former Employee,0,"Had 29 year of service with them. Benefits where great!
","Every year they down size. Covid they down sized 20%. largest down size yet
Advice to Management
Stop running scared.
Helpfu","Stop running scared.
Helpfu",5.0,1.0,2.0,4.0,4.0,5.0,Recommends,Neutral Outlook,Disapproves of CEO
Sun Dec 13 2020, Materials Manager,"Tulsa, OK",Former Employee ,Materials Operations Manager,1,"Very young workforce with high opportunity for incoming talent
","Experience is viewed as liability. Constantly cutting older employees due to cost pressures and unrealistic stockholder promises by senior management
Advice to Management
Appreciate and acknowledge your tenure. Quit viewing them as a financial liability and view them as a resource. Too much of the business decisions and employment decisions made from a spreadsheet instead of qualifications and experience
Helpful (1","Appreciate and acknowledge your tenure. Quit viewing them as a financial liability and view them as a resource. Too much of the business decisions and employment decisions made from a spreadsheet instead of qualifications and experience
",1.0,4.0,2.0,3.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Nov 06 2020, Customer Service Representative,"Detroit, MI",Former Employee ,Not as bad as you would think,0,"Fun people. Good lighting. Snacks and coffee.
","Christmas party isn't that good.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 19 2020, Lead Product Designer,"Greenville, OH",Former Employee ,Small appliances,0,"Great people and people leaders.
","High stress and unrealistic goals.
Helpfu",,3.0,3.0,4.0,3.0,,,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Nov 04 2020, Project Planning Analyst,"Benton Harbor, MI",Current Employee ,Awesome company to work for!,0,"Very inclusive of everyone and genuinely wants to help you move up in your career.
","There are none that I can see.
Helpfu",,5.0,,,,,,,,
Tue Dec 08 2020, Designer,"Benton Harbor, MI",Former Employee ,Would not recommend,3,"Fun engaging town in the summers, close to major cities.
","Internal conflicts among staff for promotions. Cliquey, huge egos, no room for growth. Design process centered on high level reviews and investor meetings instead of customer needs. Ambiguity in brand identity and design viewpoint.
Advice to Management
Investment in the development of staff.
Helpful (3","Investment in the development of staff.
",1.0,4.0,1.0,2.0,1.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Nov 04 2020, Lab Technician,"Benton Harbor, MI",Current Employee ,Great Global Company,0,"Diversity, freedom, room for advancement
","Have not dealt with any cons of my job
Helpfu",,4.0,5.0,3.0,5.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Fri Oct 30 2020, Technician,"Grand Rapids, MI",Current Employee ,Great place,0,"All good as of right now
","None as of right now
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 11 2020, Project Engineer,"Saint Joseph, MI",Current Employee ,"Good company, can be a grind",0,"Whirlpool is a good company to work for, good benefits, they pay well
","Recent layoffs have left engineers with too much work and not enough time
Advice to Management
Engineers are struggling to keep their heads above water
Helpfu","Engineers are struggling to keep their heads above water
Helpfu",3.0,4.0,3.0,5.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Oct 26 2020, Forklift Operator,"Marion, OH",Current Employee ,Work work work,0,"Steady work, good pay, decent and clean
","Lots of hours and some weekends here and there
Helpfu",,4.0,,,,,,,,
Sun Nov 08 2020, Assembly Line Worker,"Greenville, OH",Current Employee ,Good benefits,0,"There are good benefits and pay
","There is no work/home balance
Helpfu",,3.0,3.0,5.0,5.0,4.0,5.0,,,
